Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return
2015-01-01,189.12538146972656,189.99869740526844,188.2201159915737,188.78458634854343,2963643,189.12538146972656,0.0
2015-01-02,188.6248016357422,190.86134044216573,188.35855547947352,189.1679580132836,7331366,188.6248016357422,-0.002646814669159059
2015-01-05,186.5587158203125,189.7644197815686,186.1859569003978,188.5076949899657,10103941,186.5587158203125,-0.010953415444378112
2015-01-06,178.09182739257812,185.9516424095352,177.21851145319286,185.3126373357496,18627980,178.09182739257812,-0.0453845771316812
2015-01-07,181.968490600586,182.92700534664985,178.28354370530525,178.30484340105085,20720312,181.968490600586,0.02176777713365996
2015-01-08,179.3592071533203,183.80032169437555,178.9544987145511,183.20390177473905,19872227,179.3592071533203,-0.014339204763713531
2015-01-09,183.2465057373047,183.60861479352613,179.98756688757933,180.71177078126635,13392787,183.2465057373047,0.02167325918574914
2015-01-12,181.11642456054688,183.3955624727745,179.2633088836672,183.28906402331336,10100113,181.11642456054688,-0.01162412984731842
2015-01-13,179.59347534179688,182.1069101404429,179.0290192740664,181.69155191961207,9948711,179.59347534179688,-0.008408675372458485
2015-01-14,177.8468780517578,180.41356237216016,177.0481110582435,179.56154614157887,11380041,177.8468780517578,-0.009725282539997604
2015-01-15,184.0878753662109,185.5469472457592,178.92255673127204,178.92255673127204,16927085,184.0878753662109,0.03509197002961617
2015-01-16,185.24871826171875,186.3776304213054,181.48920872023663,183.18257695961665,19136963,185.24871826171875,0.006305917177861664
2015-01-19,187.3681182861328,188.72067739199645,182.91635394433047,185.35524018025544,13339962,187.3681182861328,0.011440835026020446
2015-01-20,192.3523712158203,192.88487777380465,187.1976889657768,187.76215928286896,13361320,192.3523712158203,0.026601392890523545
2015-01-21,193.14048767089844,194.1309519289865,190.009347183638,192.76774300724009,17084297,193.14048767089844,0.004097253650145349
2015-01-22,188.24142456054688,193.23634510111373,187.33615910809783,192.79968714574107,23721627,188.24142456054688,-0.025365282905877917
2015-01-23,188.91238403320312,191.2341076653132,186.80365735128487,189.57268879755253,18080494,188.91238403320312,0.0035643561146150304
2015-01-27,189.37033081054688,190.9998000421227,187.54915011606235,190.1903832404064,17939876,189.37033081054688,0.0024241225882961626
2015-01-28,193.16177368164065,193.79014307908727,188.74195929972703,188.74195929972703,19298126,193.16177368164065,0.02002131408265262
2015-01-29,197.96499633789065,199.05130914446687,193.1724231103437,193.2150225,36117653,197.96499633789065,0.024866320932455332
2015-01-30,194.9510040283203,198.3590545149964,193.61973053010595,198.092794127852,21746801,194.9510040283203,-0.015224874929030352
2015-02-02,193.4173583984375,195.9414428417306,192.9168014479216,195.12137631176225,19302710,193.4173583984375,-0.00786682601367894
2015-02-03,199.711654663086,200.4039090130933,194.51437234829828,194.51437234829828,17092333,199.711654663086,0.03254256141624223
2015-02-04,197.8372039794922,201.0322434123996,197.21949863079743,200.0311293505048,14072894,197.8372039794922,-0.00938578515488242
2015-02-05,196.75086975097656,200.20150513837328,195.4515458936831,199.37080293863093,12365643,196.75086975097656,-0.005491051261663826
2015-02-06,193.8114624023437,198.0928149910071,192.34174074177508,196.83610450633915,9045844,193.8114624023437,-0.014939742590989402
2015-02-09,190.9998016357422,195.5367644207076,189.9986875815185,191.9583163020205,8839692,190.9998016357422,-0.014507195455574329
2015-02-10,187.8686370849609,192.6611955796332,183.4594730323607,191.27668721242367,13651008,187.8686370849609,-0.016393548705106786
2015-02-11,191.8518218994141,192.714487961104,188.08166223629144,188.72066728777244,9781008,191.8518218994141,0.021201967908309527
2015-02-12,193.65167236328125,194.67408604671823,188.98691170994425,193.4067258981105,8709626,193.65167236328125,0.009381461411457348
2015-02-13,195.4302673339844,196.1331714588112,193.63038630553888,194.6847496021564,7393680,195.4302673339844,0.009184506123792069
2015-02-16,192.2991180419922,196.8573803411981,191.70269819676588,195.6858545626321,12266698,192.2991180419922,-0.016021823715981376
2015-02-18,192.05416870117188,193.40674195129367,190.5098982015268,191.7027095249581,9835036,192.05416870117188,-0.001273793365847986
2015-02-19,192.1393585205078,193.32153416038068,189.05081766521656,193.1830719345372,9550637,192.1393585205078,0.00044357183138510337
2015-02-20,185.97293090820312,190.85070299548755,185.58952219951283,190.6909410725933,18717199,185.97293090820312,-0.032093516184225845
2015-02-23,181.36143493652344,186.7504143630124,180.43486973467347,185.30199239697453,14104463,181.36143493652344,-0.024796597812161925
2015-02-24,179.2313690185547,182.5009713840568,178.28351847326613,181.95781500065965,19946218,179.2313690185547,-0.011744866921207797
2015-02-25,179.59347534179688,182.4370695916168,179.14616758234467,180.7969506194609,15274116,179.59347534179688,0.0020203289481357523
