Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,Dividends,Stock Splits
2021-09-07 00:00:00,1105.5272216796875,1113.2720722436832,1092.437839601013,1100.5903706264191,17349882,1105.5272216796875,0.0,,
2021-09-07 18:30:00,1122.067626953125,1132.5206298828125,1110.6685791015625,1131.59765625,14301651,1101.2020263671875,0.014961554043243508,0.0,0.0
2021-09-08 00:00:00,1101.2020263671875,1111.4606486919852,1090.0149514607642,1110.554838373318,14301651,1101.2020263671875,-0.018595671138464387,,
2021-09-08 18:30:00,1119.4140625,1125.0673828125,1115.02978515625,1120.4754638671875,8963249,1098.59765625,0.01653832421003898,0.0,0.0
2021-09-09 00:00:00,1098.597900390625,1104.1460938907833,1094.295151259694,1099.6395643758528,8963249,1098.597900390625,-0.018595587465540686,,
2021-09-12 18:30:00,1094.469970703125,1122.8291015625,1092.854736328125,1122.8291015625,16311160,1074.117431640625,-0.003757452736831368,0.0,0.0
2021-09-13 00:00:00,1074.117676,1101.949452386577,1072.532477613042,1101.949452386577,16311160,1074.117676,-0.01859557159896308,,
2021-09-13 18:30:00,1093.039306640625,1104.83056640625,1091.9085693359375,1096.0621337890625,8908356,1072.71337890625,0.01761597547774163,0.0,0.0
2021-09-14 00:00:00,1072.713623046875,1084.2856176738069,1071.6039124413585,1075.6802390162593,8908356,1072.713623046875,-0.018595565109382428,,
2021-09-14 18:30:00,1097.5850830078125,1105.63818359375,1093.0623779296875,1093.0623779296875,9071075,1077.1746826171875,0.02318555430506608,0.0,0.0
2021-09-15 00:00:00,1077.174805,1085.078152851648,1072.7362021275617,1072.7362021275617,9071075,1077.174805,-0.01859562262989234,,
2021-09-15 18:30:00,1120.6138916015625,1124.5596923828125,1092.3701171875,1099.0849609375,13448882,1099.775390625,0.040326868396780124,0.0,0.0
2021-09-16 00:00:00,1099.7752685546875,1103.6476943262978,1072.0567074838173,1078.6466838742622,13448882,1099.7752685546875,-0.018595720794691184,,
2021-09-16 18:30:00,1103.2384033203125,1133.3743896484375,1096.3389892578125,1128.82861328125,34882133,1082.7227783203125,0.003148947666532065,0.0,0.0
2021-09-17 00:00:00,1082.722900390625,1112.2984866148895,1075.9517858407112,1107.837242193017,34882133,1082.722900390625,-0.018595711378378343,,
2021-09-19 18:30:00,1104.9921875,1116.068115234375,1093.754638671875,1094.7237548828125,11779819,1084.444091796875,0.020567854528005913,0.0,0.0
2021-09-20 00:00:00,1084.444091796875,1095.3140549772363,1073.415512979037,1074.3666078022443,11779819,1084.444091796875,-0.01859569319636023,,
2021-09-20 18:30:00,1109.7686767578125,1115.260498046875,1100.215576171875,1109.9071044921875,9915736,1089.1318359375,0.0233525961849963,0.0,0.0
2021-09-21 00:00:00,1089.131836,1094.5215333838828,1079.7563812162018,1089.2676895218028,9915736,1089.131836,-0.018595623745754852,,
2021-09-21 18:30:00,1121.6754150390625,1126.9825439453125,1106.7919921875,1111.2916259765625,10995912,1100.8170166015625,0.02988029360943445,0.0,0.0
2021-09-22 00:00:00,1100.8170166015625,1106.025455452025,1086.210362198153,1090.6263219107966,10995912,1100.8170166015625,-0.01859575253039991,,
2021-09-22 18:30:00,1149.0885009765625,1152.3651123046875,1128.597900390625,1129.4747314453125,15748397,1127.7203369140625,0.043850597916830436,0.0,0.0
2021-09-23 00:00:00,1127.7203369140625,1130.9360171926044,1107.6107744419755,1108.4713001643795,15748397,1127.7203369140625,-0.018595751366705104,,
2021-09-23 18:30:00,1145.765625,1156.2647705078125,1140.82763671875,1155.387939453125,15192163,1124.4593505859375,0.016001563060676238,0.0,0.0
2021-09-24 00:00:00,1124.459228515625,1134.763134305946,1119.613065939266,1133.9026086017536,15192163,1124.459228515625,-0.018595772136535293,,
2021-09-26 18:30:00,1165.033203125,1167.5484619140625,1142.3505859375,1147.7501220703125,15373834,1143.3685302734375,0.03608309984074376,0.0,0.0
2021-09-27 00:00:00,1143.3685302734375,1145.8370159244848,1121.1077134942575,1126.4068411721405,15373834,1143.3685302734375,-0.018595755720481444,,
2021-09-27 18:30:00,1175.9246826171875,1183.700927734375,1159.65673828125,1169.4405517578125,18035258,1154.0574951171875,0.028473892259361255,0.0,0.0
2021-09-28 00:00:00,1154.0574951171875,1161.689135216267,1138.092065214608,1147.693941457503,18035258,1154.0574951171875,-0.018595738165246622,,
2021-09-28 18:30:00,1166.6024169921875,1186.0545654296875,1163.002685546875,1186.0545654296875,9719875,1144.9085693359375,0.010870274599036556,0.0,0.0
2021-09-29 00:00:00,1144.908691,1163.9991145771864,1141.3758992926414,1163.9991145771864,9719875,1144.908691,-0.018595646362639662,,
2021-09-29 18:30:00,1162.6334228515625,1169.717529296875,1153.9111328125,1165.287109375,13590654,1141.0133056640625,0.01548134972761983,0.0,0.0
2021-09-30 00:00:00,1141.013427734375,1147.965800183617,1132.4533348800387,1143.617767070168,13590654,1141.013427734375,-0.018595710988731695,,
2021-09-30 18:30:00,1164.6871337890625,1172.1173095703125,1151.442138671875,1154.6495361328125,8958928,1143.0289306640625,0.020747964466723667,0.0,0.0
2021-10-01 00:00:00,1143.0289306640625,1150.320936930379,1130.0302358504632,1133.1779894261922,8958928,1143.0289306640625,-0.01859572626559347,,
2021-10-03 18:30:00,1179.662841796875,1188.2928466796875,1170.84814453125,1178.2091064453125,10918552,1157.7261962890625,0.03204985468874311,0.0,0.0
2021-10-04 00:00:00,1157.7261962890625,1166.1957202690803,1149.0754144086843,1156.2994941506686,10918552,1157.7261962890625,-0.01859569084535917,,
2021-10-04 18:30:00,1204.1453857421875,1205.4376220703125,1175.6015625,1179.17822265625,13533634,1181.75341796875,0.040095136140060994,0.0,0.0
2021-10-05 00:00:00,1181.7532958984375,1183.0215020120208,1153.7402689056823,1157.250418,13533634,1181.7532958984375,-0.01859583577604995,,
2021-10-05 18:30:00,1181.370361328125,1209.1064453125,1177.332275390625,1209.1064453125,10258881,1159.4019775390625,-0.0003240393503801675,0.0,0.0
2021-10-06 00:00:00,1159.402099609375,1186.622415,1155.4391042037028,1186.622415,10258881,1159.402099609375,-0.01859557547563051,,
2021-10-06 18:30:00,1187.1622314453125,1199.32275390625,1184.9931640625,1197.592041015625,6336665,1165.0860595703125,0.023943489359981696,0.0,0.0
2021-10-07 00:00:00,1165.086181640625,1177.020571318369,1162.9574494692135,1175.3220421537414,6336665,1165.086181640625,-0.018595647014318373,,
2021-10-07 18:30:00,1232.781494140625,1238.8502197265625,1191.36181640625,1193.0924072265625,15772493,1209.8570556640625,0.05810326615038419,0.0,0.0
2021-10-08 00:00:00,1209.856934,1215.8128063604345,1169.207487984506,1170.9058970806193,15772493,1209.856934,-0.01859580164821173,,
2021-10-10 18:30:00,1224.197509765625,1255.279541015625,1220.82861328125,1246.6956787109375,14768666,1201.4326171875,0.011853116978230327,0.0,0.0
2021-10-11 00:00:00,1201.4327392578125,1231.9367793726578,1198.1264896541245,1223.512539721895,14768666,1201.4327392578125,-0.018595668040666813,,
2021-10-11 18:30:00,1231.189208984375,1238.2041015625,1218.9364013671875,1220.6671142578125,6682011,1208.29443359375,0.024767486979707654,0.0,0.0
2021-10-12 00:00:00,1208.294434,1215.1788796176056,1196.2694750157295,1197.9680041586355,6682011,1208.294434,-0.01859565923523754,,
2021-10-12 18:30:00,1243.718994140625,1255.048828125,1231.8814697265625,1236.3580322265625,9959762,1220.591064453125,0.029317821173233227,0.0,0.0
2021-10-13 00:00:00,1220.591064453125,1231.7102112927382,1208.9736680853591,1213.3669853963502,9959762,1220.591064453125,-0.01859578393227057,,
